wikidata_id,label_en,label_sv,category
Q972059,Ambjörby,Ambjörby,Administrative_Entity
Q973184,Gåvsta,Gåvsta,Administrative_Entity
Q974643,Ekeby tomtområde,Ekeby tomtområde,Administrative_Entity
Q974762,Gällö,Gällö,Administrative_Entity
Q977073,Sveg,Sveg,Administrative_Entity
Q68971,Iggesund,Iggesund,Administrative_Entity
Q75008,Östra Torn,Östra Torn,Administrative_Entity
Q75013,Österskär,Österskär,Administrative_Entity
Q79237,Eslöv,Eslöv,Administrative_Entity
Q83232,Kiruna,Kiruna,Administrative_Entity
Q83647,Ekeby,Ekeby,Administrative_Entity
Q983893,Lycksele,Lycksele,Administrative_Entity
Q984831,Söderköping,Söderköping,Administrative_Entity
Q271007,Ålidhem,Ålidhem,Administrative_Entity
Q271053,Åminne,Åminne,Administrative_Entity
Q271082,Åmål,Åmål,Administrative_Entity
Q271096,Ånge,Ånge,Administrative_Entity
Q977248,Pajala,Pajala,Administrative_Entity
Q977858,Seskarö,Seskarö,Administrative_Entity
Q983681,Tomelilla,Tomelilla,Administrative_Entity
Q983889,Tidaholm,Tidaholm,Administrative_Entity
Q121561,Edsbyn,Edsbyn,Administrative_Entity
Q122378,Ockelbo,Ockelbo,Administrative_Entity
Q122872,Älmhult,Älmhult,Administrative_Entity
Q784287,Reftele,Reftele,Administrative_Entity
Q784539,Broaryd,Broaryd,Administrative_Entity
Q784944,Maglehem,Maglehem,Administrative_Entity
Q787693,Lugnås,Lugnås,Administrative_Entity
Q787758,Ovesholm,Ovesholm,Administrative_Entity
Q788291,Fief of Viborg,Viborgs län,Administrative_Entity
Q113546,Blackeberg,Blackeberg,Administrative_Entity
Q117493,Kävlinge,Kävlinge,Administrative_Entity
Q119150,Björnlandet National Park,Björnlandet,Administrative_Entity
Q1001183,Hedemora,Hedemora,Administrative_Entity
Q289649,Utvälinge,Utvälinge,Administrative_Entity
Q293968,Ödeshög,Ödeshög,Administrative_Entity
Q297161,Ölme,Ölme,Administrative_Entity
Q297673,Örbyhus,Örbyhus,Administrative_Entity
Q297790,Öregrund,Öregrund,Administrative_Entity
Q761264,Fulufjället National Park,Fulufjällets nationalpark,Administrative_Entity
Q764166,Målsryd,Målsryd,Administrative_Entity
Q765434,Höör,Höör,Administrative_Entity
Q765760,Mjällom,Mjällom,Administrative_Entity
Q768778,Barsebäckshamn,Barsebäckshamn,Administrative_Entity
Q83679,Nora,Nora,Administrative_Entity
Q83682,Avesta,Avesta,Administrative_Entity
Q83681,Kalix,Kalix,Administrative_Entity
Q127419,Åhus,Åhus,Administrative_Entity
Q129153,Haga,Haga,Administrative_Entity
Q129176,Vega,Vega,Administrative_Entity
Q129568,Skeppshult,Skeppshult,Administrative_Entity
Q131882,Rimbo,Rimbo,Administrative_Entity
Q988504,Fegen,Fegen,Administrative_Entity
Q990083,Skänninge,Skänninge,Administrative_Entity
Q990771,Saltsjöbaden,Saltsjöbaden,Administrative_Entity
Q992613,Säter,Säter,Administrative_Entity
Q271120,Ånn,Ånn,Administrative_Entity
Q271138,Åre,Åre,Administrative_Entity
Q271180,Årjäng,Årjäng,Administrative_Entity
Q271240,Åsarna,Åsarna,Administrative_Entity
Q339905,Vaggeryd,Vaggeryd,Administrative_Entity
Q347020,Adak,Adak,Administrative_Entity
Q347841,Lunde,Lunde,Administrative_Entity
Q368574,Säffle,Säffle,Administrative_Entity
Q1004071,Johannishus,Johannishus,Administrative_Entity
Q1004189,Frösön,Frösön,Administrative_Entity
Q1006739,Klimpfjäll,Klimpfjäll,Administrative_Entity
Q1010554,Köinge,Köinge,Administrative_Entity
Q1010630,Bureå,Bureå,Administrative_Entity
Q847769,Filipstad,Filipstad,Administrative_Entity
Q848393,Ludvika,Ludvika,Administrative_Entity
Q181941,Sätofta,Sätofta,Administrative_Entity
Q183459,Gästrikland,Gästrikland,Administrative_Entity
Q194353,Gränna,Gränna,Administrative_Entity
Q194359,Mariefred,Mariefred,Administrative_Entity
Q175797,Norsborg,Hallunda-Norsborg,Administrative_Entity
Q175885,Moliden,Moliden,Administrative_Entity
Q176095,Gunnarn,Gunnarn,Administrative_Entity
Q176280,Köpingebro,Köpingebro,Administrative_Entity
Q178538,Vårgårda,Vårgårda,Administrative_Entity
Q179286,Nattavaara,Nattavaara,Administrative_Entity
Q576644,Skoghall,Skoghall,Administrative_Entity
Q579854,Gamla stan,Gamla stan,Administrative_Entity
Q580404,Muddus National Park,Muddus,Administrative_Entity
Q83715,Tumba,Tumba,Administrative_Entity
Q83718,Malmberget,Malmberget,Administrative_Entity
Q368886,Tallkrogen,Tallkrogen,Administrative_Entity
Q369863,Svedala,Svedala,Administrative_Entity
Q377564,Hökåsen,Hökåsen,Administrative_Entity
Q384083,Ekerö,Ekerö,Administrative_Entity
Q992640,Brunflo,Brunflo,Administrative_Entity
Q994695,Murjek,Murjek,Administrative_Entity
Q994927,Trosa,Trosa,Administrative_Entity
Q1001505,Hallsberg,Hallsberg,Administrative_Entity
Q1001789,Södra Ängby,Södra Ängby,Administrative_Entity
Q1001905,Eksjö,Eksjö,Administrative_Entity
Q1001939,Stenungsund,Stenungsund,Administrative_Entity
Q1011844,Båstad,Båstad,Administrative_Entity
Q1012701,Hosjö,Hosjö,Administrative_Entity
Q1012813,Hagfors,Hagfors,Administrative_Entity
Q995369,Lomma,Lomma,Administrative_Entity
Q995431,Olofström,Olofström,Administrative_Entity
Q995545,Bräcke,Bräcke,Administrative_Entity
Q591466,Ekeby,Ekeby,Administrative_Entity
Q594557,Kungshamn,Kungshamn,Administrative_Entity
Q596147,Långvik,Långvik,Administrative_Entity
Q596192,Väländan,Väländan,Administrative_Entity
Q596567,Veddige,Veddige,Administrative_Entity
Q271335,Åtvidaberg,Åtvidaberg,Administrative_Entity
Q277849,Genarp,Genarp,Administrative_Entity
Q279909,Gundal och Högås,Gundal och Högås,Administrative_Entity
Q297922,Örkelljunga,Örkelljunga,Administrative_Entity
Q298270,Össjö,Össjö,Administrative_Entity
Q298344,Österbybruk,Österbybruk,Administrative_Entity
Q202868,Edsviken,Edsviken,Administrative_Entity
Q203509,Uppland,Uppland,Administrative_Entity
Q205218,Dalarna,Dalarna,Administrative_Entity
Q581877,Söderskogen,Söderskogen,Administrative_Entity
Q584385,Hortlax,Hortlax,Administrative_Entity
Q585038,Antnäs,Antnäs,Administrative_Entity
Q586179,Boden,Boden,Administrative_Entity
Q94385,Stockholm urban area,Stockholm,Administrative_Entity
Q106909,Strängnäs,Strängnäs,Administrative_Entity
Q1000129,Finspång,Finspång,Administrative_Entity
Q1000633,Torshälla,Torshälla,Administrative_Entity
Q1001109,Vaxholm,Vaxholm,Administrative_Entity
Q1001154,Sollefteå,Sollefteå,Administrative_Entity
Q849874,Mora,Mora,Administrative_Entity
Q857052,Bie,Bie,Administrative_Entity
Q862932,Billsta,Billsta,Administrative_Entity
Q876808,Roman Catholic Diocese of Stockholm,Stockholms katolska stift,Administrative_Entity
Q879471,Bjurholm,Bjurholm,Administrative_Entity
Q137860,Karesuando,Karesuando,Administrative_Entity
Q145642,Storvik,Storvik,Administrative_Entity
Q145648,Ljusne,Ljusne,Administrative_Entity
Q153305,Farsta,Farsta,Administrative_Entity
Q163918,Berg,Berg,Administrative_Entity
Q168457,Vickleby,Vickleby,Administrative_Entity
Q174126,Köping,Köping,Administrative_Entity
Q305066,Duved,Duved,Administrative_Entity
Q305380,Hällefors,Hällefors,Administrative_Entity
Q306659,Abborrträsk,Abborrträsk,Administrative_Entity
Q307351,Östra Tommarp,Östra Tommarp,Administrative_Entity
Q307541,Överkalix,Överkalix,Administrative_Entity
Q586790,Gideå,Gideå,Administrative_Entity
Q588054,Torbjörntorp,Torbjörntorp,Administrative_Entity
Q588873,Vinberg,Vinberg,Administrative_Entity
Q588976,Haparanda,Haparanda,Administrative_Entity
Q282013,Roma,Roma,Administrative_Entity
Q282755,Getinge,Getinge,Administrative_Entity
Q283832,Rosengård,Rosengård,Administrative_Entity
Q287691,Surte,Surte,Administrative_Entity
Q287969,Kaxås,Kaxås,Administrative_Entity
Q404997,Rishammar,Rishammar,Administrative_Entity
Q405817,Tjuvkil,Tjuvkil,Administrative_Entity
Q406556,Marstrand,Marstrand,Administrative_Entity
Q426327,Västra Karaby,Västra Karaby,Administrative_Entity
Q427314,Siljansnäs,Siljansnäs,Administrative_Entity
Q271242,Åsarp,Åsarp,Administrative_Entity
Q271255,Åseda,Åseda,Administrative_Entity
Q271257,Åsele,Åsele,Administrative_Entity
Q271299,Åstorp,Åstorp,Administrative_Entity
Q879479,Bjärred,Bjärred,Administrative_Entity
Q879486,Björbo,Björbo,Administrative_Entity
Q879786,Björnänge,Björnänge,Administrative_Entity
Q882229,Blattnicksele,Blattnicksele,Administrative_Entity
Q891347,Boliden,Boliden,Administrative_Entity
Q891467,Bollmora,Bollmora,Administrative_Entity
Q778536,Diö,Diö,Administrative_Entity
Q780785,Långholmen,Långholmen,Administrative_Entity
Q781256,Sörforsa,Sörforsa,Administrative_Entity
Q783703,Liatorp,Liatorp,Administrative_Entity
Q893554,Borgholm,Borgholm,Administrative_Entity
Q893574,Borgvik,Borgvik,Administrative_Entity
Q895675,Boxholm,Boxholm,Administrative_Entity
Q597068,Karlsvik,Karlsvik,Administrative_Entity
Q597704,Bestorp,Bestorp,Administrative_Entity
Q599114,Mönsterås,Mönsterås,Administrative_Entity
Q599318,Hallen,Hallen,Administrative_Entity
Q1003201,Staffanstorp,Staffanstorp,Administrative_Entity
Q1003212,Lennartsfors,Lennartsfors,Administrative_Entity
Q1003260,Leksand,Leksand,Administrative_Entity
Q1013594,Kinnarp,Kinnarp,Administrative_Entity
Q1013597,Vidsel,Vidsel,Administrative_Entity
Q1014028,Ryssby,Ryssby,Administrative_Entity
Q1014033,Hällekis,Hällekis,Administrative_Entity
Q1014038,Evertsberg,Evertsberg,Administrative_Entity
Q427357,Rörö,Rörö,Administrative_Entity
Q429467,Hjo,Hjo,Administrative_Entity
Q433032,Gamla Uppsala,Gamla Uppsala,Administrative_Entity
Q175159,Mohed,Mohed,Administrative_Entity
Q175720,Greater Finland,Storfinland,Administrative_Entity
Q820231,Bergsjö,Bergsjö,Administrative_Entity
Q820330,Bergsviken,Bergsviken,Administrative_Entity
Q823785,Ronneby,Ronneby,Administrative_Entity
Q831527,Djurgården,Djurgården,Administrative_Entity
Q298357,Österbymo,Österbymo,Administrative_Entity
Q298374,Österfärnebo,Österfärnebo,Administrative_Entity
Q298489,Östermalm,Östermalm,Administrative_Entity
Q301381,Hägernäs,Hägernäs,Administrative_Entity
Q302072,Flygsfors,Flygsfors,Administrative_Entity
Q304145,Jönåker,Jönåker,Administrative_Entity
Q898727,Sölvesborg,Sölvesborg,Administrative_Entity
Q904462,Riddarholmen,Riddarholmen,Administrative_Entity
Q904688,Bredbyn,Bredbyn,Administrative_Entity
Q905877,Byxelkrok,Byxelkrok,Administrative_Entity
Q211649,Norrbotten,Norrbotten,Administrative_Entity
Q211652,Västerbotten,Västerbotten,Administrative_Entity
Q798392,Backe,Backe,Administrative_Entity
Q810260,Baskemölla,Baskemölla,Administrative_Entity
Q810670,Bastuträsk,Bastuträsk,Administrative_Entity
Q813826,Beddingestrand,Beddingestrand,Administrative_Entity
Q817252,Bengtsfors,Bengtsfors,Administrative_Entity
Q820082,Bergnäset,Bergnäset,Administrative_Entity
Q995551,Bräkne-Hoby,Bräkne-Hoby,Administrative_Entity
Q995809,Brösarp,Brösarp,Administrative_Entity
Q999317,Valdemarsvik,Valdemarsvik,Administrative_Entity
Q194512,Skanör med Falsterbo,Skanör med Falsterbo,Administrative_Entity
Q199957,Småland,Småland,Administrative_Entity
Q307616,Övre Soppero,Övre Soppero,Administrative_Entity
Q307636,Öxabäck,Öxabäck,Administrative_Entity
Q321430,Västmanland,Västmanland,Administrative_Entity
Q201002,Liljeholmen,Liljeholmen,Administrative_Entity
Q201182,Mellerud,Mellerud,Administrative_Entity
Q202037,Billdal,Billdal,Administrative_Entity
Q202408,Svalöv,Svalöv,Administrative_Entity
Q209853,Ångermanland,Ångermanland,Administrative_Entity
Q831973,Skarpnäcks gård,Skarpnäcks gård,Administrative_Entity
Q832833,Enskede gård,Enskede gård,Administrative_Entity
Q832882,Gamla Enskede,Gamla Enskede,Administrative_Entity
Q834832,Borensberg,Borensberg,Administrative_Entity
Q847665,Hässleholm,Hässleholm,Administrative_Entity
Q531376,Varnhem,Varnhem,Administrative_Entity
Q531649,Fredriksdal,Fredriksdal,Administrative_Entity
Q531767,Ruda,Ruda,Administrative_Entity
Q531776,Hyltebruk,Hyltebruk,Administrative_Entity
Q537431,Angelstad,Angelstad,Administrative_Entity
Q538008,Angered,Angered,Administrative_Entity
Q985014,Kåbdalis,Kåbdalis,Administrative_Entity
Q985336,Slagnäs,Slagnäs,Administrative_Entity
Q985616,Sävsjö,Sävsjö,Administrative_Entity
Q985617,Fagersta,Fagersta,Administrative_Entity
Q448970,Alvik,Alvik,Administrative_Entity
Q491730,Anderstorp,Anderstorp,Administrative_Entity
Q492641,Hede,Hede,Administrative_Entity
Q496201,Hallstavik,Hallstavik,Administrative_Entity
Q500923,Skärholmen,Skärholmen,Administrative_Entity
Q503050,Laholm,Laholm,Administrative_Entity
Q1013299,Charlottenberg,Charlottenberg,Administrative_Entity
Q1013305,Vellinge,Vellinge,Administrative_Entity
Q1013563,Torekov,Torekov,Administrative_Entity
Q1013590,Moskosel,Moskosel,Administrative_Entity
Q600012,Mörrum,Mörrum,Administrative_Entity
Q602574,Lysekil,Lysekil,Administrative_Entity
Q610146,Nykvarn,Nykvarn,Administrative_Entity
Q611013,Vetlanda,Vetlanda,Administrative_Entity
Q180756,Scania,Skåne,Administrative_Entity
Q211661,Jämtland,Jämtland,Administrative_Entity
Q210687,Medelpad,Medelpad,Administrative_Entity
Q211638,Värmland,Värmland,Administrative_Entity
Q538915,Mjölby,Mjölby,Administrative_Entity
Q548821,Tidan,Tidan,Administrative_Entity
Q556590,Ankarsrum,Ankarsrum,Administrative_Entity
Q569800,Södra Sandby,Södra Sandby,Administrative_Entity
Q953092,Abisko National Park,Abisko nationalpark,Administrative_Entity
Q953166,Svensta,Svensta,Administrative_Entity
Q953769,Bollnäs,Bollnäs,Administrative_Entity
Q954385,Glimåkra,Glimåkra,Administrative_Entity
Q216687,Närke,Närke,Administrative_Entity
Q221584,Rinkaby,Rinkaby,Administrative_Entity
Q246694,Vagnhärad,Vagnhärad,Administrative_Entity
Q205769,Juoksengi,Juoksengi,Administrative_Entity
Q206564,Hälsingland,Hälsingland,Administrative_Entity
Q988275,Lerum,Lerum,Administrative_Entity
Q988294,Solberg,Solberg,Administrative_Entity
Q988403,Tranås,Tranås,Administrative_Entity
Q509088,Stora Levene,Stora Levene,Administrative_Entity
Q509773,Sankt Olof,Sankt Olof,Administrative_Entity
Q513646,Yttersjö,Yttersjö,Administrative_Entity
Q516883,Fritsla,Fritsla,Administrative_Entity
Q520996,Gullbranna,Gullbranna,Administrative_Entity
Q771863,Sundborn,Sundborn,Administrative_Entity
Q772339,Munkedal,Munkedal,Administrative_Entity
Q776830,Ljungbyhed,Ljungbyhed,Administrative_Entity
Q777901,Vingåker,Vingåker,Administrative_Entity
Q626062,Södermanland,Södermanland,Administrative_Entity
Q1016865,Lönsboda,Lönsboda,Administrative_Entity
Q1016947,Donsö,Donsö,Administrative_Entity
Q1016950,Henån,Henån,Administrative_Entity
Q1016952,Hammarstrand,Hammarstrand,Administrative_Entity
Q1016712,Lilla Edet,Lilla Edet,Administrative_Entity
Q1016846,Hillerstorp,Hillerstorp,Administrative_Entity
Q1016852,Stockaryd,Stockaryd,Administrative_Entity
Q1016856,Vrigstad,Vrigstad,Administrative_Entity
Q1016861,Gäddede,Gäddede,Administrative_Entity
Q907549,Rosenfors,Rosenfors,Administrative_Entity
Q910007,Drottningholm,Drottningholm,Administrative_Entity
Q911875,Höganäs,Höganäs,Administrative_Entity
Q395051,Örslösa,Örslösa,Administrative_Entity
Q404656,Vinninga,Vinninga,Administrative_Entity
Q404661,Kode,Kode,Administrative_Entity
Q404675,Duvesjön,Duvesjön,Administrative_Entity
Q404977,Diseröd,Diseröd,Administrative_Entity
Q404986,Kärna,Kärna,Administrative_Entity
Q384595,Orhem,Orhem,Administrative_Entity
Q385619,Öbonäs,Öbonäs,Administrative_Entity
Q388953,Holmsund,Holmsund,Administrative_Entity
Q391929,Tiveden National Park,Tivedens nationalpark,Administrative_Entity
Q395040,Filsbäck,Filsbäck,Administrative_Entity
Q395046,Järpås,Järpås,Administrative_Entity
Q1015454,Styrsö,Styrsö,Administrative_Entity
Q1016056,Idala,Idala,Administrative_Entity
Q1016057,Burgsvik,Burgsvik,Administrative_Entity
Q1016065,Lidhult,Lidhult,Administrative_Entity
Q1016075,Skummeslövsstrand,Skummeslövsstrand,Administrative_Entity
Q1016327,Järnforsen,Järnforsen,Administrative_Entity
Q1016332,Otterbäcken,Otterbäcken,Administrative_Entity
Q207444,Härjedalen,Härjedalen,Administrative_Entity
Q209523,Bohuslän,Bohuslän,Administrative_Entity
Q1018980,Bälinge,Bälinge,Administrative_Entity
Q1019101,Degerfors,Degerfors,Administrative_Entity
Q1019412,Rimforsa,Rimforsa,Administrative_Entity
Q1019544,Husby,Husby,Administrative_Entity
Q1014044,Moholm,Moholm,Administrative_Entity
Q1014050,Floby,Floby,Administrative_Entity
Q1014055,Gudhem,Gudhem,Administrative_Entity
Q1014060,Stenstorp,Stenstorp,Administrative_Entity
Q1019546,Rutvik,Rutvik,Administrative_Entity
Q1019554,Mörlunda,Mörlunda,Administrative_Entity
Q1019553,Töcksfors,Töcksfors,Administrative_Entity
Q1019556,Sjöbo,Sjöbo,Administrative_Entity
Q1019557,Högsäter,Högsäter,Administrative_Entity
Q504454,Gagnef,Gagnef,Administrative_Entity
Q508180,Hallsberg Municipality,Hallsbergs kommun,Administrative_Entity
Q649659,Sköllersta,Sköllersta,Administrative_Entity
Q654268,Oskarshamn,Oskarshamn,Administrative_Entity
Q654299,Nässjö,Nässjö,Administrative_Entity
Q2348307,Tjautjas,Tjautjas,Administrative_Entity
Q2348474,Edsvalla,Edsvalla,Administrative_Entity
Q2349186,Sikfors,Sikfors,Administrative_Entity
Q2349356,Mollösund,Mollösund,Administrative_Entity
Q2350797,Rixö,Rixö,Administrative_Entity
Q2352444,Sörvik,Sörvik,Administrative_Entity
Q2352894,Vena,Vena,Administrative_Entity
Q2353200,Högsjö,Högsjö,Administrative_Entity
Q253086,Essvik,Essvik,Administrative_Entity
Q254017,Virserum,Virserum,Administrative_Entity
Q254251,Hestra,Hestra,Administrative_Entity
Q254761,Älghult,Älghult,Administrative_Entity
Q254953,Älvkarleby,Älvkarleby,Administrative_Entity
Q933760,Skee,Skee,Administrative_Entity
Q934485,Knäred,Knäred,Administrative_Entity
Q934689,Alby,Alby,Administrative_Entity
Q935348,Orsa,Orsa,Administrative_Entity
Q937262,Helgum,Helgum,Administrative_Entity
Q930262,Sala,Sala,Administrative_Entity
Q933497,Nitta,Nitta,Administrative_Entity
Q933517,Storebro,Storebro,Administrative_Entity
Q963062,Norrlandet,Norrlandet,Administrative_Entity
Q964308,Torestorp,Torestorp,Administrative_Entity
Q969636,Vinäs,Vinäs,Administrative_Entity
Q970691,Lillhaga,Lillhaga,Administrative_Entity
Q972028,Ösmo,Ösmo,Administrative_Entity
Q262973,Hageby,Hageby,Administrative_Entity
Q263479,Harlösa,Harlösa,Administrative_Entity
Q264780,Floda,Floda,Administrative_Entity
Q265648,Södra Innerstaden,Södra Innerstaden,Administrative_Entity
Q265682,Vadstena,Vadstena,Administrative_Entity
Q946707,Onslunda,Onslunda,Administrative_Entity
Q948020,Rossön,Rossön,Administrative_Entity
Q948117,Mariestad,Mariestad,Administrative_Entity
Q1017058,Norsjö,Norsjö,Administrative_Entity
Q1017138,Burträsk,Burträsk,Administrative_Entity
Q1017565,Tibro,Tibro,Administrative_Entity
Q255003,Älvsbyn,Älvsbyn,Administrative_Entity
Q255019,Älvsjö,Älvsjö,Administrative_Entity
Q255042,Älvängen,Älvängen,Administrative_Entity
Q255161,Alfta,Alfta,Administrative_Entity
Q255168,Änge,Änge,Administrative_Entity
Q1018430,Grundsund,Grundsund,Administrative_Entity
Q1018434,Hörnefors,Hörnefors,Administrative_Entity
Q1018437,Torna Hällestad,Torna Hällestad,Administrative_Entity
Q1018441,Enånger,Enånger,Administrative_Entity
Q1018454,Uddeholm,Uddeholm,Administrative_Entity
Q255578,Insjön,Insjön,Administrative_Entity
Q257067,Hult,Hult,Administrative_Entity
Q258121,Ätran,Ätran,Administrative_Entity
Q258124,Ättekulla,Ättekulla,Administrative_Entity
Q258806,Hjortsberga,Hjortsberga,Administrative_Entity
Q259046,Gällivare,Gällivare,Administrative_Entity
Q919693,Slottsskogen,Slottsskogen,Administrative_Entity
Q923113,Broby,Broby,Administrative_Entity
Q924378,Ytterhogdal,Ytterhogdal,Administrative_Entity
Q924504,Marieby,Marieby,Administrative_Entity
Q925183,Sonstorp,Sonstorp,Administrative_Entity
Q612314,Norrfjärden,Norrfjärden,Administrative_Entity
Q614210,Bröttjärna,Bröttjärna,Administrative_Entity
Q616561,Kåge,Kåge,Administrative_Entity
Q626045,Halland,Halland,Administrative_Entity
Q1011053,Rökå,Rökå,Administrative_Entity
Q1011674,Djurås,Djurås,Administrative_Entity
Q1011739,Sälen,Sälen,Administrative_Entity
Q1011837,Gustavsberg,Gustavsberg,Administrative_Entity
Q644455,Rya,Rya,Administrative_Entity
Q645351,Kramfors,Kramfors,Administrative_Entity
Q648536,Simrishamn,Simrishamn,Administrative_Entity
Q2374380,Trånghalla,Trånghalla,Administrative_Entity
Q2374644,Holmeja,Holmeja,Administrative_Entity
Q2376187,Ljungbyholm,Ljungbyholm,Administrative_Entity
Q2376371,Delary,Delary,Administrative_Entity
Q2376437,Edane,Edane,Administrative_Entity
Q2377746,Timmersdala,Timmersdala,Administrative_Entity
Q569960,Hamra National Park,Hamra nationalpark,Administrative_Entity
Q1017607,Kisa,Kisa,Administrative_Entity
Q1018412,Gnarp,Gnarp,Administrative_Entity
Q1018421,Porjus,Porjus,Administrative_Entity
Q5638527,Hagalund,Hagalund,Administrative_Entity
Q5701256,Hejdegården,Hejdegården,Administrative_Entity
Q5744230,Herrskogen,Herrskogen,Administrative_Entity
Q5818807,Tye,Tye,Administrative_Entity
Q5873286,Hjulsbro,Hjulsbro,Administrative_Entity
Q5901961,Trångforsen och Heden,Trångfors,Administrative_Entity
Q5936345,Hulta,Hulta,Administrative_Entity
Q6060183,Inverness,Inverness,Administrative_Entity
Q6319900,Jägarvallen,Jägarvallen,Administrative_Entity
Q6320860,Majorna,Majorna,Administrative_Entity
Q6333445,Oxberg,Oxberg,Administrative_Entity
Q6353662,Kallebäck,Kallebäck,Administrative_Entity
Q6382621,Trollbäcken,Trollbäcken,Administrative_Entity
Q6382776,Vendelsö,Vendelsö,Administrative_Entity
Q940812,Åshammar,Åshammar,Administrative_Entity
Q945780,Sarek National Park,Sarek national park,Administrative_Entity
Q945857,Vika,Vika,Administrative_Entity
Q630648,Laxvik,Laxvik,Administrative_Entity
